Date,ID,Impressions,Clicks,Video_Starts,Video_Completions,Operating_System,Day_of_Week,Site,Site_Category
14/02/2021,439712,1,0,0,0,iOS,1,Site AA,News
14/02/2021,439712,1,0,0,0,Other,1,Site AA,News
14/02/2021,439712,1,0,0,0,Other,1,Site AA,News
15/02/2021,439712,1,0,0,0,Other,2,Site P,News
15/02/2021,439712,1,0,0,0,Other,2,Site AA,News
15/02/2021,439712,1,0,0,0,Android,2,Site A,News
15/02/2021,439712,1,0,0,0,Other,2,Site AA,News
16/02/2021,439712,1,0,0,0,Android,3,Site A,News
16/02/2021,439712,1,0,0,0,Other,3,Site P,News
16/02/2021,439712,1,0,0,0,Other,3,Site V,News
16/02/2021,439712,1,0,0,0,iOS,3,Site AA,News
17/02/2021,439712,1,0,0,0,Other,4,Site R,News
18/02/2021,439712,1,0,0,0,iOS,5,Site P,News
18/02/2021,439712,1,0,0,0,Other,5,Site AA,News
19/02/2021,439712,1,0,0,0,iOS,6,Site A,News
19/02/2021,439712,1,0,0,0,Android,6,Site P,News
19/02/2021,439712,1,0,0,0,iOS,6,Site P,News
19/02/2021,439712,1,0,0,0,Other,6,Site R,News
20/02/2021,439712,1,0,0,0,Android,7,Site AA,News
20/02/2021,439712,1,0,0,0,Other,7,Site AA,News
21/02/2021,439712,1,0,0,0,Other,1,Site AA,News
21/02/2021,439712,1,0,0,0,Android,4,Site A,News
22/02/2021,439712,1,0,0,0,iOS,2,Site AA,News
24/02/2021,439712,1,0,0,0,Android,4,Site A,News
24/02/2021,439712,1,0,0,0,Other,4,Site AA,News
25/02/2021,439712,1,0,0,0,Android,5,Site A,News
25/02/2021,439712,1,0,0,0,Android,5,Site AA,News
25/02/2021,439712,1,0,0,0,iOS,5,Site AA,News
26/02/2021,439712,1,0,0,0,Other,6,Site AA,News
27/02/2021,439712,1,0,0,0,Other,7,Site V,News
27/02/2021,439712,1,0,0,0,Other,7,Site AA,News
28/02/2021,439712,1,0,0,0,Android,1,Site A,News
28/02/2021,439712,1,0,0,0,Other,1,Site A,News
01/03/2021,439712,1,0,0,0,Android,5,Site A,News
01/03/2021,439712,1,0,0,0,Other,5,Site AA,News
01/03/2021,439712,1,0,0,0,Other,5,Site AA,News
03/03/2021,439712,1,0,0,0,Other,7,Site A,News
04/03/2021,439712,1,0,0,0,Other,1,Site A,News
04/03/2021,439712,1,0,0,0,Other,1,Site AA,News
04/03/2021,439712,1,0,0,0,Other,1,Site AA,News
04/03/2021,439712,1,0,0,0,Other,1,Site AA,News
05/03/2021,439712,1,0,0,0,Android,2,Site A,News
05/03/2021,439712,1,0,0,0,Other,2,Site AA,News
06/03/2021,439712,1,0,0,0,Other,3,Site A,News
06/03/2021,439712,1,0,0,0,Other,3,Site P,News
06/03/2021,439712,1,0,0,0,Android,3,Site AA,News
18/03/2021,439712,1,0,0,0,Other,3,Site R,News
18/03/2021,439712,1,0,0,0,Other,3,Site AA,News
18/03/2021,439712,1,0,0,0,Other,3,Site AA,News
01/02/2021,2384651,1,0,0,0,Other,2,Site V,News
03/02/2021,2384651,1,0,0,0,Other,4,Site F,Lifestyle
07/02/2021,2384651,1,0,0,0,Other,1,Site L,Lifestyle
07/02/2021,2384651,1,0,0,0,Other,1,Site V,News
08/02/2021,2384651,1,0,0,0,Other,2,Site L,Lifestyle
08/02/2021,2384651,1,0,0,0,Other,2,Site R,News
08/02/2021,2384651,1,0,0,0,Other,2,Site V,News
09/02/2021,2384651,1,0,0,0,Other,3,Site F,Lifestyle
10/02/2021,2384651,1,0,0,0,Other,4,Site R,News
12/02/2021,2384651,1,0,0,0,Other,6,Site R,News
12/02/2021,2384651,1,0,0,0,Other,6,Site V,News
03/03/2021,2384651,1,0,0,0,iOS,7,Site F,Lifestyle
03/03/2021,2384651,1,0,0,0,Other,7,Site L,Lifestyle
04/03/2021,2384651,1,0,0,0,Other,1,Site L,Lifestyle
05/03/2021,2384651,1,0,0,0,Android,2,Site F,Lifestyle
05/03/2021,2384651,1,0,0,0,iOS,2,Site F,Lifestyle
30/01/2021,1946835,1,0,0,0,iOS,1,Site L,Lifestyle
30/01/2021,1946835,1,0,0,0,Other,1,Site L,Lifestyle
30/01/2021,1946835,1,0,0,0,Other,1,Site U,Lifestyle
01/02/2021,1946835,1,0,0,0,Other,2,Site F,Lifestyle
01/02/2021,1946835,1,0,0,0,Android,2,Site L,Lifestyle
01/02/2021,1946835,1,0,0,0,iOS,2,Site AD,Sport
02/02/2021,1946835,1,0,0,0,Android,3,Site K,Lifestyle
03/02/2021,1946835,1,0,0,0,iOS,4,Site F,Lifestyle
04/02/2021,1946835,1,0,0,0,Android,5,Site K,Lifestyle
04/02/2021,1946835,1,0,0,0,iOS,5,Site W,Lifestyle
05/02/2021,1946835,1,0,0,0,Android,6,Site K,Lifestyle
05/02/2021,1946835,1,0,0,0,iOS,6,Site W,Lifestyle
06/02/2021,1946835,1,0,0,0,Android,7,Site L,Lifestyle
07/02/2021,1946835,1,0,0,0,iOS,1,Site K,Lifestyle
07/02/2021,1946835,1,0,0,0,iOS,1,Site L,Lifestyle
07/02/2021,1946835,1,0,0,0,Other,1,Site R,News
08/02/2021,1946835,1,0,0,0,iOS,2,Site K,Lifestyle
08/02/2021,1946835,1,0,0,0,Other,2,Site V,News
09/02/2021,1946835,1,0,0,0,Other,3,Site F,Lifestyle
09/02/2021,1946835,1,0,0,0,Android,3,Site L,Lifestyle
09/02/2021,1946835,1,0,0,0,iOS,3,Site L,Lifestyle
09/02/2021,1946835,1,0,0,0,Other,3,Site V,News
10/02/2021,1946835,1,0,0,0,iOS,4,Site L,Lifestyle
10/02/2021,1946835,1,0,0,0,Other,4,Site L,Lifestyle
13/02/2021,1946835,1,0,0,0,iOS,7,Site K,Lifestyle
13/02/2021,1946835,1,0,0,0,Android,7,Site L,Lifestyle
13/02/2021,1946835,1,0,0,0,iOS,7,Site L,Lifestyle
13/02/2021,1946835,1,0,0,0,Other,7,Site L,Lifestyle
14/02/2021,1946835,1,0,0,0,Android,1,Site F,Lifestyle
14/02/2021,1946835,1,0,0,0,Other,1,Site L,Lifestyle
16/02/2021,1946835,1,0,0,0,Other,3,Site L,Lifestyle
16/02/2021,1946835,1,0,0,0,Other,3,Site R,News
16/02/2021,1946835,1,0,0,0,Other,3,Site V,News
17/02/2021,1946835,1,0,0,0,iOS,4,Site F,Lifestyle
18/02/2021,1946835,1,0,0,0,iOS,5,Site L,Lifestyle
18/02/2021,1946835,1,0,0,0,Other,5,Site L,Lifestyle
19/02/2021,1946835,1,0,0,0,Other,6,Site F,Lifestyle
19/02/2021,1946835,1,0,0,0,Other,6,Site R,News
21/02/2021,1946835,1,0,0,0,iOS,1,Site W,Lifestyle
21/02/2021,1946835,1,0,0,0,Other,4,Site L,Lifestyle
22/02/2021,1946835,1,0,0,0,Other,2,Site L,Lifestyle
24/02/2021,1946835,1,0,0,0,Other,4,Site L,Lifestyle
25/02/2021,1946835,1,0,0,0,Other,5,Site R,News
25/02/2021,1946835,1,0,0,0,Other,5,Site V,News
28/02/2021,1946835,1,0,0,0,Other,1,Site R,News
01/03/2021,1946835,1,0,0,0,Other,5,Site F,Lifestyle
03/03/2021,1946835,1,0,0,0,Other,7,Site L,Lifestyle
03/03/2021,1946835,1,0,0,0,Android,7,Site W,Lifestyle
06/03/2021,1946835,1,0,0,0,Other,3,Site W,Lifestyle
06/03/2021,1946835,1,0,0,0,iOS,3,Site AD,Sport
18/03/2021,1946835,1,0,0,0,Other,3,Site L,Lifestyle
30/01/2021,7824651,1,0,0,0,Other,1,Site L,Lifestyle
01/02/2021,7824651,1,0,0,0,iOS,2,Site F,Lifestyle
01/02/2021,7824651,1,0,0,0,Other,2,Site K,Lifestyle
01/02/2021,7824651,1,0,0,0,Android,2,Site L,Lifestyle
01/02/2021,7824651,1,0,0,0,Other,2,Site U,Lifestyle
02/02/2021,7824651,1,0,0,0,Android,3,Site W,Lifestyle
03/02/2021,7824651,1,0,0,0,iOS,4,Site F,Lifestyle
03/02/2021,7824651,1,0,0,0,Android,4,Site K,Lifestyle
03/02/2021,7824651,1,0,0,0,iOS,4,Site L,Lifestyle
03/02/2021,7824651,1,0,0,0,iOS,4,Site W,Lifestyle
04/02/2021,7824651,1,0,0,0,iOS,5,Site K,Lifestyle
06/02/2021,7824651,1,0,0,0,iOS,7,Site L,Lifestyle
06/02/2021,7824651,1,0,0,0,Other,7,Site R,News
08/02/2021,7824651,1,0,0,0,iOS,2,Site F,Lifestyle
08/02/2021,7824651,1,0,0,0,Other,2,Site L,Lifestyle
11/02/2021,7824651,1,0,0,0,iOS,5,Site K,Lifestyle
11/02/2021,7824651,1,0,0,0,Android,5,Site L,Lifestyle
11/02/2021,7824651,1,0,0,0,Other,5,Site M,Sport
12/02/2021,7824651,1,0,0,0,Other,6,Site L,Lifestyle
13/02/2021,7824651,1,0,0,0,iOS,7,Site L,Lifestyle
13/02/2021,7824651,1,2,0,0,iOS,7,Site W,Lifestyle
14/02/2021,7824651,1,0,0,0,Other,1,Site F,Lifestyle
14/02/2021,7824651,1,2,0,0,Android,1,Site L,Lifestyle
15/02/2021,7824651,1,0,0,0,Other,2,Site R,News
16/02/2021,7824651,1,0,0,0,iOS,3,Site L,Lifestyle
17/02/2021,7824651,1,0,0,0,iOS,4,Site K,Lifestyle
17/02/2021,7824651,1,0,0,0,Android,4,Site L,Lifestyle
17/02/2021,7824651,1,0,0,0,Other,4,Site V,News
18/02/2021,7824651,1,0,0,0,Other,5,Site L,Lifestyle
19/02/2021,7824651,1,0,0,0,Other,6,Site F,Lifestyle
19/02/2021,7824651,1,0,0,0,Other,6,Site L,Lifestyle
21/02/2021,7824651,1,0,0,0,Other,1,Site L,Lifestyle
21/02/2021,7824651,1,0,0,0,Android,1,Site W,Lifestyle
22/02/2021,7824651,1,0,0,0,Other,2,Site F,Lifestyle
22/02/2021,7824651,1,0,0,0,Other,2,Site R,News
24/02/2021,7824651,1,0,0,0,Other,4,Site F,Lifestyle
24/02/2021,7824651,1,0,0,0,Other,4,Site R,News
26/02/2021,7824651,1,0,0,0,Other,6,Site R,News
02/03/2021,7824651,1,0,0,0,Android,6,Site W,Lifestyle
03/03/2021,7824651,1,0,0,0,Other,7,Site F,Lifestyle
05/03/2021,7824651,1,0,0,0,Android,2,Site F,Lifestyle
06/03/2021,7824651,1,0,0,0,iOS,3,Site AD,Sport
18/03/2021,7824651,1,0,0,0,Other,3,Site F,Lifestyle
18/03/2021,7824651,1,0,0,0,Other,3,Site R,News
18/03/2021,4986351,1,0,0,0,Other,3,Site R,News
08/02/2021,3491664,1,0,0,0,Other,2,Site R,News
10/02/2021,3491664,1,0,0,0,Other,4,Site R,News
15/02/2021,3491664,1,0,0,0,Other,2,Site V,News
24/02/2021,3491664,1,0,0,0,Other,4,Site V,News
28/02/2021,3491664,1,0,0,0,Other,1,Site V,News
01/02/2021,954221,1,0,0,0,Other,2,Site R,News
17/02/2021,954221,1,0,0,0,Other,4,Site R,News
26/01/2021,3978488,1,0,0,0,iOS,4,Site A,News
26/01/2021,3978488,1,0,0,0,Other,4,Site R,News
26/01/2021,3978488,1,0,2,2,iOS,4,Site T,Lifestyle
26/01/2021,3978488,1,0,2,0,iOS,4,Site X,Lifestyle
27/01/2021,3978488,1,0,0,0,Other,5,Site A,News
27/01/2021,3978488,1,0,1,2,Android,5,Site X,Lifestyle
04/02/2021,3978488,1,0,2,0,Other,5,Site R,News
05/02/2021,3978488,1,0,2,2,Android,6,Site A,News
06/02/2021,3978488,1,0,2,2,iOS,7,Site A,News
07/02/2021,3978488,1,0,0,0,Other,1,Site O,Entertainment
08/02/2021,3978488,1,0,0,0,Other,2,Site A,News
08/02/2021,3978488,1,0,0,0,iOS,2,Site T,Lifestyle
09/02/2021,3978488,1,0,2,0,iOS,3,Site S,Entertainment
10/02/2021,3978488,1,0,0,0,Other,4,Site A,News
10/02/2021,3978488,1,0,0,0,Other,4,Site R,News
12/02/2021,3978488,1,0,2,0,Other,6,Site A,News
13/02/2021,3978488,1,2,2,0,Other,7,Site A,News
13/02/2021,3978488,1,0,2,2,Other,7,Site O,Entertainment
13/02/2021,3978488,1,0,0,0,Android,7,Site S,Entertainment
15/02/2021,3978488,1,0,0,0,iOS,2,Site S,Entertainment
15/02/2021,3978488,1,0,0,0,Other,2,Site V,News
17/02/2021,3978488,1,0,0,0,Android,4,Site S,Entertainment
17/02/2021,3978488,1,0,0,0,Other,4,Site V,News
18/02/2021,3978488,1,0,0,0,Other,5,Site A,News
18/02/2021,3978488,1,0,0,0,Other,5,Site O,Entertainment
20/02/2021,3978488,1,0,0,0,Other,7,Site A,News
20/02/2021,3978488,1,0,0,0,Other,7,Site O,Entertainment
21/02/2021,3978488,1,0,2,0,Other,1,Site O,Entertainment
21/02/2021,3978488,1,0,0,0,iOS,1,Site S,Entertainment
22/02/2021,3978488,1,0,0,0,Android,2,Site S,Entertainment
24/02/2021,3978488,1,0,0,0,Android,4,Site T,Lifestyle
27/02/2021,3978488,1,0,2,2,Other,7,Site A,News
27/02/2021,3978488,1,0,0,0,Other,7,Site V,News
28/02/2021,3978488,1,0,0,0,Other,1,Site O,Entertainment
01/03/2021,3978488,1,0,0,0,iOS,5,Site T,Lifestyle
02/03/2021,3978488,1,2,2,0,iOS,6,Site A,News
02/03/2021,3978488,1,0,0,0,Android,6,Site T,Lifestyle
03/03/2021,3978488,1,0,1,1,Other,7,Site O,Entertainment
03/03/2021,3978488,1,0,0,0,Other,7,Site O,Entertainment
03/03/2021,3978488,1,0,2,2,Android,7,Site Z,Entertainment
04/03/2021,3978488,1,0,2,2,Other,1,Site O,Entertainment
04/03/2021,3978488,1,0,2,0,Other,1,Site O,Entertainment
06/03/2021,3978488,1,2,1,0,Other,3,Site A,News
06/03/2021,3978488,1,0,1,1,Other,3,Site A,News
18/03/2021,3978488,1,0,0,0,Other,3,Site O,Entertainment
18/03/2021,3978488,1,0,0,0,iOS,3,Site S,Entertainment
15/02/2021,854771,1,0,0,0,iOS,2,Site AE,Lifestyle
21/02/2021,854771,1,0,0,0,iOS,4,Site H,Tech
21/02/2021,854771,1,0,0,0,iOS,4,Site H,Tech
21/02/2021,854771,1,0,0,0,iOS,4,Site AE,Lifestyle
21/02/2021,854771,1,0,0,0,Other,4,Site AE,Lifestyle
01/03/2021,854771,1,0,0,0,iOS,5,Site H,Tech
02/03/2021,854771,1,0,0,0,Android,6,Site AE,Lifestyle
02/03/2021,854771,1,0,0,0,Other,6,Site AE,Lifestyle
03/03/2021,854771,1,0,0,0,iOS,7,Site H,Tech
03/03/2021,854771,1,0,0,0,Other,7,Site H,Tech
03/03/2021,854771,1,0,0,0,Other,7,Site AE,Lifestyle
04/03/2021,854771,1,0,0,0,Android,1,Site H,Tech
04/03/2021,854771,1,0,0,0,Android,1,Site H,Tech
04/03/2021,854771,1,0,0,0,Android,1,Site AE,Lifestyle
04/03/2021,854771,1,0,0,0,Other,1,Site AE,Lifestyle
05/03/2021,854771,1,0,0,0,iOS,2,Site AE,Lifestyle
05/03/2021,854771,1,0,0,0,Other,2,Site AE,Lifestyle
06/03/2021,854771,1,0,0,0,Android,3,Site AE,Lifestyle
18/03/2021,854771,1,0,0,0,iOS,3,Site H,Tech
18/03/2021,854771,1,0,0,0,Android,3,Site AE,Lifestyle
18/03/2021,854771,1,0,0,0,Other,3,Site AE,Lifestyle
30/01/2021,7651385,1,0,0,0,Other,1,Site R,News
01/02/2021,7651385,1,0,0,0,iOS,2,Site H,Tech
01/02/2021,7651385,1,0,0,0,Android,2,Site N,Sport
01/02/2021,7651385,1,1,0,0,Other,2,Site N,Sport
01/02/2021,7651385,1,0,0,0,Other,2,Site N,Sport
01/02/2021,7651385,1,0,0,0,Other,2,Site Q,Sport
01/02/2021,7651385,1,0,0,0,Other,2,Site R,News
01/02/2021,7651385,1,0,0,0,Other,2,Site Y,Sport
02/02/2021,7651385,1,0,0,0,Other,3,Site D,Sport
02/02/2021,7651385,1,0,0,0,Android,3,Site N,Sport
02/02/2021,7651385,1,0,0,0,Other,3,Site Y,Sport
02/02/2021,7651385,1,0,0,0,Other,3,Site Y,Sport
03/02/2021,7651385,1,0,0,0,Android,4,Site N,Sport
03/02/2021,7651385,1,0,0,0,Other,4,Site N,Sport
03/02/2021,7651385,1,0,0,0,Other,4,Site N,Sport
03/02/2021,7651385,1,0,0,0,Android,4,Site AE,Lifestyle
04/02/2021,7651385,1,0,0,0,Other,5,Site N,Sport
04/02/2021,7651385,1,0,0,0,iOS,5,Site Y,Sport
04/02/2021,7651385,1,0,0,0,Android,5,Site AE,Lifestyle
05/02/2021,7651385,1,0,0,0,Android,6,Site G,Sport
05/02/2021,7651385,1,0,0,0,Android,6,Site H,Tech
05/02/2021,7651385,1,0,0,0,Other,6,Site N,Sport
05/02/2021,7651385,1,0,0,0,Other,6,Site Q,Sport
05/02/2021,7651385,1,0,0,0,Android,6,Site Y,Sport
06/02/2021,7651385,1,0,0,0,iOS,7,Site H,Tech
06/02/2021,7651385,1,0,0,0,iOS,7,Site N,Sport
06/02/2021,7651385,1,0,0,0,Other,7,Site R,News
07/02/2021,7651385,1,0,0,0,Android,1,Site G,Sport
08/02/2021,7651385,1,0,0,0,iOS,2,Site G,Sport
08/02/2021,7651385,1,0,0,0,Other,2,Site Y,Sport
09/02/2021,7651385,1,0,0,0,Android,3,Site G,Sport
09/02/2021,7651385,1,0,0,0,iOS,3,Site G,Sport
09/02/2021,7651385,1,0,0,0,iOS,3,Site H,Tech
09/02/2021,7651385,1,0,0,0,Other,3,Site Q,Sport
09/02/2021,7651385,1,0,0,0,Android,3,Site Y,Sport
09/02/2021,7651385,1,0,0,0,Other,3,Site Y,Sport
10/02/2021,7651385,1,0,0,0,Android,4,Site H,Tech
10/02/2021,7651385,1,0,0,0,Other,4,Site N,Sport
10/02/2021,7651385,1,0,0,0,Other,4,Site N,Sport
10/02/2021,7651385,1,0,0,0,Other,4,Site V,News
10/02/2021,7651385,1,0,0,0,Android,4,Site Y,Sport
11/02/2021,7651385,1,0,0,0,iOS,5,Site H,Tech
11/02/2021,7651385,1,0,0,0,Other,5,Site N,Sport
11/02/2021,7651385,1,0,0,0,Other,5,Site Y,Sport
11/02/2021,7651385,1,0,0,0,Other,5,Site AE,Lifestyle
11/02/2021,7651385,1,0,0,0,iOS,5,Site AE,Lifestyle
12/02/2021,7651385,1,0,0,0,iOS,6,Site G,Sport
12/02/2021,7651385,1,0,0,0,Other,6,Site V,News
12/02/2021,7651385,1,0,0,0,Android,6,Site Y,Sport
12/02/2021,7651385,1,0,0,0,Other,6,Site Y,Sport
12/02/2021,7651385,1,0,0,0,iOS,6,Site Y,Sport
12/02/2021,7651385,1,0,0,0,Other,6,Site AB,Sport
13/02/2021,7651385,1,0,0,0,Android,7,Site G,Sport
13/02/2021,7651385,1,0,0,0,Other,7,Site N,Sport
13/02/2021,7651385,1,0,0,0,Other,7,Site R,News
13/02/2021,7651385,1,0,0,0,iOS,7,Site Y,Sport
13/02/2021,7651385,1,0,0,0,iOS,7,Site Y,Sport
13/02/2021,7651385,1,0,0,0,iOS,7,Site Y,Sport
13/02/2021,7651385,1,0,0,0,iOS,7,Site Y,Sport
13/02/2021,7651385,1,0,0,0,Android,7,Site AE,Lifestyle
13/02/2021,7651385,1,0,0,0,Other,7,Site AE,Lifestyle
13/02/2021,7651385,1,0,0,0,iOS,7,Site AE,Lifestyle
14/02/2021,7651385,1,0,0,0,iOS,1,Site G,Sport
14/02/2021,7651385,1,0,0,0,iOS,1,Site H,Tech
14/02/2021,7651385,1,0,0,0,Android,1,Site N,Sport
14/02/2021,7651385,1,0,0,0,Other,1,Site R,News
14/02/2021,7651385,1,0,0,0,Android,1,Site Y,Sport
14/02/2021,7651385,1,0,0,0,Android,1,Site Y,Sport
14/02/2021,7651385,1,0,0,0,iOS,1,Site Y,Sport
14/02/2021,7651385,1,0,0,0,iOS,1,Site Y,Sport
